,Player,Opp,PPR PTS,0.5 PPR,STD PTS,C/A,PCT,YDS,TD,INT,RUSH,YDS.1,AVG,TD.1,REC,TAR,YDS.2,AVG.1,TD.2,2PC,FUM,Name,pos,team,weekn
3883,"Mitchell Tinsley (WR, WAS)",PHI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Mitchell Tinsley,WR, was,8
3884,"Jason Brownlee (WR, NYJ)",@NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Jason Brownlee,WR, nyj,8
3885,"Xavier Hutchinson (WR, HOU)",@CAR,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Xavier Hutchinson,WR, hou,8
3886,"Cedric Tillman (WR, CLE)",@SEA,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Cedric Tillman,WR, cle,8
3887,"A.T. Perry (WR, NO)",@IND,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,A.T. Perry,WR, no,8
3888,"Aidan O'Connell (QB, LV)",@DET,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Aidan O'Connell,QB, lv,8
3889,"Blake Whiteheart (TE, ARI)",BAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Blake Whiteheart,TE, ari,8
3890,"Malik Heath (WR, GB)",MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Malik Heath,WR, gb,8
3891,"Roschon Johnson (RB, CHI)",@LAC,6.1,4.6,3.1,0/0,0%,0,0,0,6,21,3.5,0,3,4,10,3.3,0,0,0,Roschon Johnson,RB, chi,8
3892,"Josh Whyle (TE, TEN)",ATL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Josh Whyle,TE, ten,8
3893,"Jalen Brooks (WR, DAL)",LAR,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Jalen Brooks,WR, dal,8
3894,"Elijah Higgins (TE, ARI)",BAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Elijah Higgins,TE, ari,8
3895,"Julian Hill (TE, MIA)",NE,1.4,0.9,0.4,0/0,0%,0,0,0,0,0,0.0,0,1,2,4,4.0,0,0,0,Julian Hill,TE, mia,8
3896,"Xavier Gipson (WR, NYJ)",@NYG,0.3,0.3,0.3,0/0,0%,0,0,0,1,3,3.0,0,0,1,0,0.0,0,0,0,Xavier Gipson,WR, nyj,8
3897,"Sean Clifford (QB, GB)",MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Sean Clifford,QB, gb,8
3898,"Colton Dowell (WR, TEN)",ATL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Colton Dowell,WR, ten,8
3899,"Ben Sims (TE, GB)",MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Ben Sims,TE, gb,8
3900,"Emari Demercado (RB, ARI)",BAL,8.9,8.4,7.9,0/0,0%,0,0,0,20,78,3.9,0,1,1,1,1.0,0,0,0,Emari Demercado,RB, ari,8
3901,"Tommy Devito (QB, NYG)",NYJ,7.16,7.16,7.16,2/7,28.6%,-1,0,0,4,12,3.0,1,0,0,0,0.0,0,0,0,Tommy Devito,QB, nyg,8
3902,"Elijah Dotson (RB, LAC)",CHI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Elijah Dotson,RB, lac,8
