,Rushing,Rush,Yds,Avg,Long,TD,FL,opp,weekn
0,Patrick Mahomes,6,45,7.5,16,0,0,det,1
1,Isiah Pacheco,8,23,2.9,7,0,0,det,1
2,Clyde Edwards-Helaire,6,22,3.7,5,0,0,det,1
3,Skyy Moore,1,4,4.0,4,0,0,det,1
4,Kadarius Toney,1,-1,-1.0,-1,0,0,det,1
5,Rashee Rice,1,-3,-3.0,-3,0,0,det,1
6,David Montgomery,21,74,3.5,8,1,0,kc,1
7,Jahmyr Gibbs,7,42,6.0,18,0,0,kc,1
8,Jalen Reeves-Maybin,1,3,3.0,3,0,0,kc,1
9,Jared Goff,5,-1,-0.2,2,0,0,kc,1
10,Breece Hall,10,127,12.7,83,0,0,buf,1
11,Dalvin Cook,13,33,2.5,10,0,0,buf,1
12,Zach Wilson,4,6,1.5,6,0,0,buf,1
13,Michael Carter,1,6,6.0,6,0,0,buf,1
14,James Cook,12,46,3.8,13,0,0,nyj,1
15,Josh Allen,6,36,6.0,14,0,1,nyj,1
16,Latavius Murray,2,8,4.0,6,0,0,nyj,1
17,Deonte Harty,1,4,4.0,4,0,0,nyj,1
18,Damien Harris,1,3,3.0,3,0,0,nyj,1
19,Saquon Barkley,12,51,4.3,18,0,0,dal,1
20,Daniel Jones,13,43,3.3,11,0,0,dal,1
21,Matt Breida,2,9,4.5,6,0,0,dal,1
22,Gary Brightwell,1,5,5.0,5,0,0,dal,1
23,Tony Pollard,14,70,5.0,25,2,0,nyg,1
24,Rico Dowdle,6,24,4.0,10,0,0,nyg,1
25,KaVontae Turpin,3,14,4.7,7,1,0,nyg,1
26,Deuce Vaughn,6,8,1.3,5,0,0,nyg,1
27,Dak Prescott,1,6,6.0,6,0,0,nyg,1
28,Kenneth Walker III,12,64,5.3,15,0,0,lar,1
29,Zach Charbonnet,3,11,3.7,9,0,0,lar,1
30,Geno Smith,1,6,6.0,6,0,0,lar,1
31,DeeJay Dallas,2,4,2.0,5,0,0,lar,1
32,Kyren Williams,15,52,3.5,9,2,0,sea,1
33,Cam Akers,22,29,1.3,12,1,0,sea,1
34,Matthew Stafford,3,11,3.7,9,0,0,sea,1
35,Najee Harris,6,31,5.2,24,0,0,sf,1
36,Jaylen Warren,3,6,2.0,3,0,0,sf,1
37,Kenny Pickett,1,4,4.0,4,0,0,sf,1
38,Christian McCaffrey,22,152,6.9,65,1,0,pit,1
39,Brock Purdy,3,20,6.7,17,0,0,pit,1
40,Elijah Mitchell,5,10,2.0,4,0,0,pit,1
41,Deebo Samuel,2,8,4.0,5,0,0,pit,1
42,Sam Darnold,2,-2,-1.0,-1,0,0,pit,1
43,Jamaal Williams,18,45,2.5,11,0,0,ten,1
44,Rashid Shaheed,2,11,5.5,6,0,0,ten,1
45,Tony Jones Jr.,1,5,5.0,5,0,0,ten,1
46,Derek Carr,3,4,1.3,7,0,0,ten,1
47,Taysom Hill,3,4,1.3,4,0,0,ten,1
48,Derrick Henry,15,63,4.2,18,0,0,no,1
49,Tyjae Spears,3,27,9.0,17,0,0,no,1
50,Treylon Burks,1,9,9.0,9,0,0,no,1
51,Ryan Tannehill,3,5,1.7,2,0,0,no,1
52,Ezekiel Elliott,7,29,4.1,11,0,0,phi,1
53,Rhamondre Stevenson,12,25,2.1,5,0,0,phi,1
54,Mac Jones,2,15,7.5,8,0,0,phi,1
55,Ty Montgomery II,1,7,7.0,7,0,0,phi,1
56,Kenneth Gainwell,14,54,3.9,16,0,0,ne,1
57,Jalen Hurts,9,37,4.1,14,0,1,ne,1
58,Boston Scott,1,3,3.0,3,0,0,ne,1
59,D'Andre Swift,1,3,3.0,3,0,0,ne,1
60,Justin Fields,9,59,6.6,10,0,0,gb,1
61,Khalil Herbert,9,27,3.0,12,0,0,gb,1
62,Roschon Johnson,5,20,4.0,11,1,0,gb,1
63,D'Onta Foreman,5,16,3.2,11,0,0,gb,1
64,Cole Kmet,1,0,0.0,0,0,0,gb,1
65,Aaron Jones,9,41,4.6,9,1,0,chi,1
66,Patrick Taylor,5,22,4.4,10,0,0,chi,1
67,AJ Dillon,13,19,1.5,7,0,0,chi,1
68,Jordan Love,3,12,4.0,9,0,0,chi,1
69,Sean Clifford,1,0,0.0,0,0,0,chi,1
70,Jayden Reed,1,-2,-2.0,-2,0,0,chi,1
71,Austin Ekeler,16,117,7.3,55,1,0,mia,1
72,Joshua Kelley,16,91,5.7,14,1,0,mia,1
73,Justin Herbert,5,17,3.4,5,1,0,mia,1
74,Keenan Allen,2,6,3.0,4,0,0,mia,1
75,Gerald Everett,1,2,2.0,2,0,0,mia,1
76,Raheem Mostert,10,37,3.7,12,1,0,lac,1
77,Erik Ezukanma,2,17,8.5,12,0,0,lac,1
78,Salvon Ahmed,3,11,3.7,8,0,0,lac,1
79,Tua Tagovailoa,5,5,1.0,7,0,1,lac,1
80,Javonte Williams,13,52,4.0,11,0,0,lv,1
81,Samaje Perine,8,41,5.1,12,0,0,lv,1
82,Russell Wilson,1,1,1.0,1,0,0,lv,1
83,Josh Jacobs,19,48,2.5,7,0,0,den,1
84,Jimmy Garoppolo,9,11,1.2,8,0,0,den,1
85,Zamir White,1,2,2.0,2,0,0,den,1
86,Brian Robinson Jr.,19,59,3.1,7,0,0,ari,1
87,Sam Howell,2,11,5.5,6,1,0,ari,1
88,Antonio Gibson,3,9,3.0,3,0,1,ari,1
89,Chris Rodriguez Jr.,3,7,2.3,3,0,0,ari,1
90,Curtis Samuel,1,6,6.0,6,0,0,ari,1
91,James Conner,14,62,4.4,12,0,0,was,1
92,Marquise Brown,1,29,29.0,29,0,0,was,1
93,Rondale Moore,2,12,6.0,8,0,0,was,1
94,Joshua Dobbs,3,-3,-1.0,1,0,1,was,1
95,Keaontay Ingram,5,-4,-0.8,6,0,0,was,1
96,Alexander Mattison,11,34,3.1,9,0,0,tb,1
97,Kirk Cousins,3,7,2.3,4,0,1,tb,1
98,Ty Chandler,3,0,0.0,2,0,0,tb,1
99,Rachaad White,17,39,2.3,6,0,0,min,1
100,Sean Tucker,5,15,3.0,5,0,0,min,1
101,Baker Mayfield,8,11,1.4,5,0,0,min,1
102,Chase Edmonds,2,8,4.0,5,0,0,min,1
103,Rakim Jarrett,1,0,0.0,0,0,0,min,1
104,Lamar Jackson,6,38,6.3,14,0,0,hou,1
105,Gus Edwards,8,32,4.0,13,0,0,hou,1
106,J.K. Dobbins,8,22,2.8,4,1,0,hou,1
107,Justice Hill,8,9,1.1,4,2,0,hou,1
108,Zay Flowers,2,9,4.5,6,0,0,hou,1
109,Dameon Pierce,11,38,3.5,7,0,0,bal,1
110,C.J. Stroud,4,20,5.0,11,0,0,bal,1
111,Devin Singletary,7,15,2.1,4,0,0,bal,1
112,Noah Brown,1,-1,-1.0,-1,0,0,bal,1
113,Anthony Richardson,10,40,4.0,12,1,0,jax,1
114,Deon Jackson,13,14,1.1,7,0,1,jax,1
115,Jake Funk,2,10,5.0,7,0,0,jax,1
116,Evan Hull,1,1,1.0,1,0,0,jax,1
117,Travis Etienne Jr.,18,77,4.3,26,1,0,ind,1
118,Trevor Lawrence,7,21,3.0,11,0,0,ind,1
119,Tank Bigsby,7,13,1.9,4,1,0,ind,1
120,Jamal Agnew,2,-2,-1.0,0,0,0,ind,1
121,D'Ernest Johnson,1,-4,-4.0,-4,0,0,ind,1
122,Tyler Allgeier,15,75,5.0,22,2,0,car,1
123,Bijan Robinson,10,56,5.6,21,0,0,car,1
124,Desmond Ridder,1,-1,-1.0,-1,0,0,car,1
125,Miles Sanders,18,72,4.0,10,0,1,atl,1
126,Chuba Hubbard,9,60,6.7,21,0,0,atl,1
127,Bryce Young,3,17,5.7,16,0,0,atl,1
128,Laviska Shenault Jr.,2,5,2.5,5,0,0,atl,1
129,Nick Chubb,18,106,5.9,17,0,0,cin,1
130,Deshaun Watson,5,45,9.0,13,1,0,cin,1
131,Jerome Ford,15,36,2.4,17,0,1,cin,1
132,Elijah Moore,2,19,9.5,19,0,0,cin,1
133,Joe Mixon,13,56,4.3,22,0,0,cle,1
134,Chris Evans,2,12,6.0,7,0,0,cle,1
135,Trayveon Williams,2,7,3.5,5,0,0,cle,1
136,Ja'Marr Chase,1,2,2.0,2,0,0,cle,1
137,Jake Browning,1,-1,-1.0,-1,0,0,cle,1
138,Joe Burrow,1,-1,-1.0,-1,0,0,cle,1
139,Najee Harris,10,43,4.3,21,0,0,cle,2
140,Jaylen Warren,6,20,3.3,8,0,0,cle,2
141,Calvin Austin III,1,-2,-2.0,-2,0,0,cle,2
142,Kenny Pickett,4,-6,-1.5,-1,0,0,cle,2
143,Jerome Ford,16,106,6.6,69,0,0,pit,2
144,Nick Chubb,10,64,6.4,20,0,0,pit,2
145,Deshaun Watson,6,22,3.7,12,0,1,pit,2
146,Elijah Moore,1,5,5.0,5,0,0,pit,2
147,Pierre Strong Jr.,2,1,0.5,1,1,0,pit,2
148,Miles Sanders,14,43,3.1,13,0,0,no,2
149,Bryce Young,2,34,17.0,26,0,0,no,2
150,Chuba Hubbard,2,16,8.0,14,0,0,no,2
151,Laviska Shenault Jr.,1,7,7.0,7,0,0,no,2
152,Taysom Hill,9,75,8.3,19,0,0,car,2
153,Tony Jones Jr.,12,34,2.8,6,2,0,car,2
154,Jamaal Williams,9,29,3.2,7,0,0,car,2
155,Derek Carr,3,-4,-1.3,-1,0,0,car,2
156,Rhamondre Stevenson,15,50,3.3,12,1,0,mia,2
157,Mac Jones,5,25,5.0,18,0,0,mia,2
158,Ezekiel Elliott,5,13,2.6,7,0,0,mia,2
159,Raheem Mostert,18,121,6.7,43,2,0,ne,2
160,Salvon Ahmed,3,13,4.3,10,0,0,ne,2
161,Erik Ezukanma,3,5,1.7,7,0,0,ne,2
162,De'Von Achane,1,5,5.0,5,0,0,ne,2
163,Tua Tagovailoa,4,3,0.8,4,0,0,ne,2
164,Jaylen Waddle,1,-2,-2.0,-2,0,0,ne,2
165,Dameon Pierce,15,31,2.1,10,0,0,ind,2
166,Devin Singletary,4,14,3.5,5,0,0,ind,2
167,Dare Ogunbowale,2,4,2.0,2,0,0,ind,2
168,Andrew Beck,2,2,1.0,2,0,0,ind,2
169,C.J. Stroud,3,1,0.3,2,0,0,ind,2
170,Zack Moss,18,88,4.9,11,1,0,hou,2
171,Anthony Richardson,3,35,11.7,18,2,0,hou,2
172,Gardner Minshew II,2,3,1.5,2,0,0,hou,2
173,Russell Wilson,6,56,9.3,15,0,0,was,2
174,Javonte Williams,12,44,3.7,15,0,0,was,2
175,Marvin Mims Jr.,2,10,5.0,8,0,0,was,2
176,Jaleel McLaughlin,1,5,5.0,5,1,0,was,2
177,Samaje Perine,1,4,4.0,4,0,0,was,2
178,Michael Burton,1,3,3.0,3,0,0,was,2
179,Brian Robinson Jr.,18,87,4.8,27,2,0,den,2
180,Sam Howell,2,13,6.5,11,0,0,den,2
181,Curtis Samuel,1,13,13.0,13,0,0,den,2
182,Antonio Gibson,2,9,4.5,7,0,0,den,2
183,Tony Pollard,25,72,2.9,23,0,0,nyj,2
184,Rico Dowdle,7,26,3.7,9,0,0,nyj,2
185,Deuce Vaughn,3,16,5.3,13,0,0,nyj,2
186,Dak Prescott,6,14,2.3,15,0,0,nyj,2
187,KaVontae Turpin,2,6,3.0,6,0,0,nyj,2
188,Peyton Hendershot,1,0,0.0,0,0,0,nyj,2
189,Zach Wilson,5,36,7.2,16,0,0,dal,2
190,Breece Hall,4,9,2.3,9,0,0,dal,2
191,Michael Carter,2,8,4.0,6,0,0,dal,2
192,Dalvin Cook,4,7,1.8,6,0,1,dal,2
193,Ashtyn Davis,1,4,4.0,4,0,0,dal,2
194,James Conner,23,106,4.6,22,1,0,nyg,2
195,Joshua Dobbs,3,41,13.7,23,1,0,nyg,2
196,Keaontay Ingram,2,6,3.0,5,0,0,nyg,2
197,Emari Demercado,1,-2,-2.0,-2,0,0,nyg,2
198,Saquon Barkley,17,63,3.7,16,1,0,ari,2
199,Daniel Jones,9,59,6.6,15,1,0,ari,2
200,Matt Breida,1,5,5.0,5,0,0,ari,2
201,Kyren Williams,14,52,3.7,8,1,0,sf,2
202,Matthew Stafford,4,17,4.3,7,0,0,sf,2
203,Ben Skowronek,1,11,11.0,11,0,0,sf,2
204,Tutu Atwell,1,5,5.0,5,0,0,sf,2
205,Puka Nacua,2,4,2.0,4,0,0,sf,2
206,Christian McCaffrey,20,116,5.8,51,1,0,lar,2
207,Deebo Samuel,5,38,7.6,17,1,0,lar,2
208,Brock Purdy,3,5,1.7,4,1,0,lar,2
209,Travis Etienne Jr.,12,40,3.3,9,0,0,kc,2
210,Trevor Lawrence,5,26,5.2,18,0,1,kc,2
211,D'Ernest Johnson,1,8,8.0,8,0,0,kc,2
212,Isiah Pacheco,12,70,5.8,31,0,0,jax,2
213,Patrick Mahomes,7,30,4.3,14,0,0,jax,2
214,Kadarius Toney,1,3,3.0,3,0,0,jax,2
215,Clyde Edwards-Helaire,1,0,0.0,0,0,0,jax,2
216,Jerick McKinnon,1,-2,-2.0,-2,0,0,jax,2
217,Rachaad White,17,73,4.3,13,1,0,chi,2
218,Baker Mayfield,6,17,2.8,9,0,0,chi,2
219,Chase Edmonds,2,12,6.0,14,0,0,chi,2
220,Deven Thompkins,1,11,11.0,11,0,0,chi,2
221,Sean Tucker,8,7,0.9,7,0,0,chi,2
222,Khalil Herbert,7,35,5.0,8,0,0,tb,2
223,Roschon Johnson,4,32,8.0,29,0,0,tb,2
224,Justin Fields,4,3,0.8,5,1,0,tb,2
225,Velus Jones Jr.,1,-3,-3.0,-3,0,0,tb,2
226,Derrick Henry,25,80,3.2,23,1,0,lac,2
227,Tyjae Spears,8,49,6.1,14,0,0,lac,2
228,Ryan Tannehill,1,12,12.0,12,1,0,lac,2
229,Joshua Kelley,13,39,3.0,15,0,0,ten,2
230,Derius Davis,1,10,10.0,10,0,0,ten,2
231,Elijah Dotson,4,6,1.5,2,0,0,ten,2
232,Isaiah Spiller,1,3,3.0,3,0,0,ten,2
233,Mike Williams,1,3,3.0,3,0,0,ten,2
234,Justin Herbert,1,0,0.0,0,0,0,ten,2
235,Joe Mixon,13,59,4.5,14,0,0,bal,2
236,Joe Burrow,1,5,5.0,5,0,0,bal,2
237,Chase Brown,1,2,2.0,2,0,0,bal,2
238,Gus Edwards,10,62,6.2,20,1,0,cin,2
239,Lamar Jackson,12,54,4.5,12,0,0,cin,2
240,Justice Hill,11,41,3.7,11,0,0,cin,2
241,Devin Duvernay,3,15,5.0,8,0,0,cin,2
242,Zay Flowers,1,6,6.0,6,0,0,cin,2
243,Bijan Robinson,19,124,6.5,19,0,0,gb,2
244,Tyler Allgeier,16,48,3.0,10,0,0,gb,2
245,Desmond Ridder,10,39,3.9,9,1,0,gb,2
246,AJ Dillon,15,55,3.7,8,0,0,atl,2
247,Jordan Love,2,23,11.5,24,0,0,atl,2
248,Emanuel Wilson,3,5,1.7,7,0,0,atl,2
249,Patrick Taylor,1,1,1.0,1,0,0,atl,2
250,David Montgomery,16,67,4.2,16,1,1,sea,2
251,Jahmyr Gibbs,7,17,2.4,8,0,0,sea,2
252,Kalif Raymond,1,11,11.0,11,0,0,sea,2
253,Craig Reynolds,3,7,2.3,5,0,0,sea,2
254,Kenneth Walker III,17,43,2.5,14,2,0,det,2
255,Geno Smith,3,20,6.7,15,0,0,det,2
256,Zach Charbonnet,4,16,4.0,9,0,0,det,2
257,DeeJay Dallas,1,3,3.0,3,0,0,det,2
258,James Cook,17,123,7.2,36,0,0,lv,2
259,Damien Harris,7,33,4.7,11,1,0,lv,2
260,Latavius Murray,6,22,3.7,8,1,0,lv,2
261,Josh Allen,3,7,2.3,3,0,0,lv,2
262,Kyle Allen,2,-2,-1.0,-1,0,0,lv,2
263,Tre Tucker,1,34,34.0,34,0,0,buf,2
264,Zamir White,4,22,5.5,8,0,1,buf,2
265,Jimmy Garoppolo,1,1,1.0,1,0,0,buf,2
266,Josh Jacobs,9,-2,-0.2,3,0,0,buf,2
267,D'Andre Swift,28,175,6.3,43,1,0,min,2
268,Boston Scott,5,40,8.0,18,0,0,min,2
269,Jalen Hurts,12,35,2.9,8,2,0,min,2
270,Rashaad Penny,3,9,3.0,6,0,0,min,2
271,Alexander Mattison,8,28,3.5,7,0,1,phi,2
272,Ty Chandler,1,0,0.0,0,0,0,phi,2
273,Joe Mixon,19,65,3.4,14,1,0,lar,3
274,Trayveon Williams,1,4,4.0,4,0,0,lar,3
275,Joe Burrow,3,-2,-0.7,0,0,0,lar,3
276,Kyren Williams,10,38,3.8,9,0,0,cin,3
277,Tutu Atwell,1,22,22.0,22,0,0,cin,3
278,Matthew Stafford,1,7,7.0,7,0,0,cin,3
279,Van Jefferson,1,4,4.0,4,0,0,cin,3
280,Rachaad White,14,38,2.7,12,0,0,phi,3
281,Baker Mayfield,1,2,2.0,2,0,0,phi,3
282,Sean Tucker,2,1,0.5,2,0,0,phi,3
283,D'Andre Swift,16,130,8.1,29,0,0,tb,3
284,Kenneth Gainwell,14,43,3.1,8,0,0,tb,3
285,Jalen Hurts,10,28,2.8,8,1,0,tb,3
286,Breece Hall,12,18,1.5,7,0,0,ne,3
287,Dalvin Cook,8,18,2.3,5,0,0,ne,3
288,Nick Bawden,1,1,1.0,1,1,0,ne,3
289,Zach Wilson,1,1,1.0,1,0,0,ne,3
290,Ezekiel Elliott,16,80,5.0,14,0,0,nyj,3
291,Rhamondre Stevenson,19,59,3.1,10,0,0,nyj,3
292,Mac Jones,4,13,3.3,8,0,0,nyj,3
293,Demario Douglas,1,5,5.0,5,0,0,nyj,3
294,Brian Robinson Jr.,10,70,7.0,23,0,0,buf,3
295,Sam Howell,1,18,18.0,18,0,0,buf,3
296,Antonio Gibson,2,17,8.5,13,0,0,buf,3
297,James Cook,15,98,6.5,34,0,0,was,3
298,Josh Allen,3,46,15.3,23,1,0,was,3
299,Damien Harris,5,15,3.0,7,0,0,was,3
300,Latavius Murray,5,15,3.0,7,1,0,was,3
301,Kyle Allen,2,-2,-1.0,-1,0,0,was,3
302,Deonte Harty,2,-2,-1.0,1,0,0,was,3
303,Gabe Davis,1,-2,-2.0,-2,0,0,was,3
304,Alexander Mattison,20,93,4.7,15,0,0,lac,3
305,Ty Chandler,3,27,9.0,12,0,0,lac,3
306,Kirk Cousins,1,10,10.0,10,0,0,lac,3
307,Joshua Kelley,11,12,1.1,4,0,0,min,3
308,Justin Herbert,2,11,5.5,12,0,0,min,3
309,Isaiah Spiller,2,7,3.5,6,0,0,min,3
310,De'Von Achane,18,203,11.3,67,2,0,den,3
311,Raheem Mostert,13,82,6.3,20,3,0,den,3
312,Chris Brooks,9,66,7.3,52,0,0,den,3
313,Alec Ingold,2,0,0.0,0,0,0,den,3
314,Mike White,1,-1,-1.0,-1,0,0,den,3
315,Javonte Williams,11,42,3.8,16,0,0,mia,3
316,Jaleel McLaughlin,5,15,3.0,7,0,0,mia,3
317,Samaje Perine,3,9,3.0,3,0,0,mia,3
318,Marvin Mims Jr.,1,3,3.0,3,0,0,mia,3
319,Isiah Pacheco,15,62,4.1,18,1,0,chi,3
320,Clyde Edwards-Helaire,15,55,3.7,16,1,0,chi,3
321,Patrick Mahomes,3,28,9.3,15,0,0,chi,3
322,Jerick McKinnon,2,9,4.5,10,0,0,chi,3
323,Blaine Gabbert,2,-1,-0.5,0,0,0,chi,3
324,Justin Fields,11,47,4.3,17,0,0,kc,3
325,Roschon Johnson,8,38,4.8,11,0,0,kc,3
326,Khalil Herbert,7,31,4.4,11,0,0,kc,3
327,Kenneth Walker III,18,97,5.4,36,2,0,car,3
328,Zach Charbonnet,9,46,5.1,12,0,0,car,3
329,DeeJay Dallas,2,7,3.5,8,0,0,car,3
330,Geno Smith,4,-4,-1.0,-1,0,0,car,3
331,Miles Sanders,9,24,2.7,15,1,0,sea,3
332,Andy Dalton,2,11,5.5,10,0,0,sea,3
333,Laviska Shenault Jr.,2,7,3.5,5,0,0,sea,3
334,Chuba Hubbard,1,2,2.0,2,0,0,sea,3
335,James Conner,14,98,7.0,26,1,0,dal,3
336,Joshua Dobbs,6,55,9.2,44,0,0,dal,3
337,Rondale Moore,3,54,18.0,45,1,0,dal,3
338,Keaontay Ingram,5,13,2.6,8,0,0,dal,3
339,Emari Demercado,2,2,1.0,2,0,0,dal,3
340,Tony Pollard,23,122,5.3,31,0,0,ari,3
341,Dak Prescott,3,24,8.0,13,0,0,ari,3
342,Rico Dowdle,4,21,5.3,10,0,0,ari,3
343,CeeDee Lamb,2,9,4.5,9,0,0,ari,3
344,Hunter Luepke,1,9,9.0,9,0,0,ari,3
345,Josh Jacobs,17,62,3.6,10,0,0,pit,3
346,Jimmy Garoppolo,2,7,3.5,7,0,0,pit,3
347,Najee Harris,19,65,3.4,17,0,0,lv,3
348,Jaylen Warren,8,29,3.6,11,0,0,lv,3
349,Kenny Pickett,3,11,3.7,10,0,0,lv,3
350,Connor Heyward,1,0,0.0,0,0,0,lv,3
351,Travis Etienne Jr.,19,88,4.6,16,0,0,hou,3
352,Trevor Lawrence,3,12,4.0,8,0,0,hou,3
353,Tank Bigsby,2,10,5.0,9,1,0,hou,3
354,D'Ernest Johnson,3,6,2.0,3,0,0,hou,3
355,Devin Singletary,9,41,4.6,14,0,0,jax,3
356,Dameon Pierce,14,31,2.2,10,1,0,jax,3
357,C.J. Stroud,3,14,4.7,11,0,0,jax,3
358,Lamar Jackson,14,101,7.2,16,2,0,ind,3
359,Gus Edwards,11,51,4.6,14,0,0,ind,3
360,Melvin Gordon III,10,32,3.2,15,0,0,ind,3
361,Zay Flowers,1,2,2.0,2,0,0,ind,3
362,Kenyan Drake,1,0,0.0,0,0,0,ind,3
363,Zack Moss,30,122,4.1,24,0,0,bal,3
364,Trey Sermon,5,17,3.4,5,0,0,bal,3
365,Jahmyr Gibbs,17,80,4.7,21,0,0,atl,3
366,Craig Reynolds,4,15,3.8,8,0,0,atl,3
367,Zonovan Knight,3,13,4.3,8,0,0,atl,3
368,Amon-Ra St. Brown,1,4,4.0,4,0,0,atl,3
369,Jared Goff,5,3,0.6,3,1,0,atl,3
370,Jason Cabinda,1,0,0.0,0,0,0,atl,3
371,Bijan Robinson,10,33,3.3,11,0,0,det,3
372,Tyler Allgeier,7,12,1.7,5,0,0,det,3
373,Desmond Ridder,2,3,1.5,2,0,0,det,3
374,Kyle Pitts,1,-4,-4.0,-4,0,0,det,3
375,Jordan Love,9,39,4.3,24,1,0,no,3
376,AJ Dillon,11,33,3.0,14,0,0,no,3
377,Keisean Nixon,1,11,11.0,11,0,0,no,3
378,Patrick Taylor,3,6,2.0,4,0,0,no,3
379,Emanuel Wilson,2,6,3.0,4,0,0,no,3
380,Kendre Miller,9,34,3.8,10,0,0,gb,3
381,Tony Jones Jr.,8,31,3.9,19,0,0,gb,3
382,Taysom Hill,4,12,3.0,6,0,0,gb,3
383,Rashid Shaheed,1,0,0.0,0,0,0,gb,3
384,Pierre Strong Jr.,6,27,4.5,9,0,0,ten,3
385,Jerome Ford,10,18,1.8,9,1,0,ten,3
386,Deshaun Watson,4,16,4.0,10,0,0,ten,3
387,Kareem Hunt,5,13,2.6,5,0,0,ten,3
388,Harrison Bryant,2,4,2.0,2,0,0,ten,3
389,Marquise Goodwin,1,1,1.0,1,0,0,ten,3
390,Elijah Moore,3,-1,-0.3,2,0,0,ten,3
391,Derrick Henry,11,20,1.8,9,0,0,cle,3
392,Tyjae Spears,4,6,1.5,5,0,0,cle,3
393,Christian McCaffrey,18,85,4.7,12,1,0,nyg,3
394,Elijah Mitchell,11,42,3.8,18,0,0,nyg,3
395,Jordan Mason,3,11,3.7,5,0,0,nyg,3
396,Kyle Juszczyk,1,3,3.0,3,0,0,nyg,3
397,Deebo Samuel,1,2,2.0,2,0,0,nyg,3
398,Brock Purdy,4,-1,-0.3,1,0,0,nyg,3
399,Sam Darnold,1,-1,-1.0,-1,0,0,nyg,3
400,Matt Breida,4,17,4.3,8,1,0,sf,3
401,Gary Brightwell,4,5,1.3,2,0,0,sf,3
402,Daniel Jones,2,5,2.5,4,0,0,sf,3
403,Tyrod Taylor,1,2,2.0,2,0,0,sf,3
404,Daniel Jones,10,66,6.6,17,0,0,sea,4
405,Matt Breida,14,30,2.1,5,0,0,sea,4
406,Gary Brightwell,4,9,2.3,4,0,0,sea,4
407,Wan'Dale Robinson,1,7,7.0,7,0,0,sea,4
408,Kenneth Walker III,17,79,4.6,31,1,0,nyg,4
409,Zach Charbonnet,5,31,6.2,15,0,0,nyg,4
410,Drew Lock,1,11,11.0,11,0,0,nyg,4
411,Breece Hall,6,56,9.3,43,0,0,kc,4
412,Dalvin Cook,5,16,3.2,5,0,0,kc,4
413,Zach Wilson,2,14,7.0,14,0,1,kc,4
414,Xavier Gipson,2,13,6.5,14,0,0,kc,4
415,Michael Carter,1,9,9.0,9,0,0,kc,4
416,Isiah Pacheco,20,115,5.8,48,1,0,nyj,4
417,Patrick Mahomes,7,51,7.3,25,0,0,nyj,4
418,Skyy Moore,2,19,9.5,11,0,0,nyj,4
419,Clyde Edwards-Helaire,3,12,4.0,9,0,0,nyj,4
420,Jerick McKinnon,3,7,2.3,3,0,0,nyj,4
421,Alvin Kamara,11,51,4.6,13,0,0,tb,4
422,Taysom Hill,4,10,2.5,4,0,0,tb,4
423,Adam Prentice,1,5,5.0,5,0,1,tb,4
424,Kendre Miller,1,3,3.0,3,0,0,tb,4
425,Derek Carr,2,1,0.5,2,0,0,tb,4
426,Rachaad White,15,56,3.7,11,0,0,no,4
427,Baker Mayfield,8,31,3.9,10,0,0,no,4
428,Ke'Shawn Vaughn,9,16,1.8,8,0,0,no,4
429,Deven Thompkins,1,11,11.0,11,0,0,no,4
430,Zack Moss,18,70,3.9,20,0,0,lar,4
431,Anthony Richardson,10,56,5.6,23,1,1,lar,4
432,Trey Sermon,3,7,2.3,4,0,0,lar,4
433,Kyren Williams,25,103,4.1,20,2,0,ind,4
434,Ronnie Rivers,9,47,5.2,9,0,0,ind,4
435,Matthew Stafford,2,14,7.0,8,0,0,ind,4
436,Derrick Henry,22,122,5.5,29,1,0,cin,4
437,Tyjae Spears,5,40,8.0,22,0,0,cin,4
438,Ryan Tannehill,6,11,1.8,7,0,0,cin,4
439,Joe Mixon,14,67,4.8,13,0,0,ten,4
440,Trayveon Williams,1,4,4.0,4,0,0,ten,4
441,Joe Burrow,3,1,0.3,1,0,0,ten,4
442,Joshua Kelley,17,65,3.8,22,0,0,lv,4
443,Derius Davis,3,51,17.0,51,0,0,lv,4
444,Justin Herbert,12,27,2.3,15,2,0,lv,4
445,Isaiah Spiller,5,12,2.4,4,0,0,lv,4
446,Josh Jacobs,17,58,3.4,9,1,0,lac,4
447,Zamir White,3,15,5.0,11,0,0,lac,4
448,Aidan O'Connell,3,3,1.0,2,1,0,lac,4
449,Tony Pollard,11,47,4.3,16,0,0,ne,4
450,KaVontae Turpin,1,46,46.0,46,0,0,ne,4
451,CeeDee Lamb,1,12,12.0,12,0,0,ne,4
452,Deuce Vaughn,8,9,1.1,3,0,0,ne,4
453,Rico Dowdle,3,9,3.0,9,0,0,ne,4
454,Hunter Luepke,2,4,2.0,3,1,0,ne,4
455,Dak Prescott,1,-1,-1.0,-1,0,0,ne,4
456,Cooper Rush,3,-2,-0.7,0,0,0,ne,4
457,Rhamondre Stevenson,14,30,2.1,8,0,0,dal,4
458,Ezekiel Elliott,6,16,2.7,9,0,0,dal,4
459,Mac Jones,3,7,2.3,4,0,0,dal,4
460,D'Andre Swift,14,56,4.0,8,1,0,was,4
461,Jalen Hurts,9,34,3.8,24,0,0,was,4
462,Kenneth Gainwell,4,14,3.5,13,0,0,was,4
463,Brian Robinson Jr.,14,45,3.2,15,1,0,phi,4
464,Sam Howell,6,40,6.7,20,0,0,phi,4
465,Antonio Gibson,6,19,3.2,10,0,0,phi,4
