,Rushing,Rush,Yds,Avg,Long,TD,FL,opp,weekn
1656,A. Mattison,10,66,6.6,16,0,0,lv,14
1657,T. Chandler,12,35,2.9,7,0,0,lv,14
1658,J. Dobbs,5,21,4.2,12,0,0,lv,14
1659,C. Ham,1,7,7.0,7,0,0,lv,14
1660,K. Nwangwu,2,3,1.5,4,0,0,lv,14
1661,A. Ekeler,10,51,5.1,9,1,0,den,14
1662,I. Spiller,6,19,3.2,6,0,0,den,14
1663,J. Kelley,3,6,2.0,3,0,0,den,14
1664,J. Williams,17,66,3.9,20,1,0,lac,14
1665,J. McLaughlin,5,25,5.0,9,0,0,lac,14
1666,S. Perine,2,8,4.0,5,0,0,lac,14
1667,R. Wilson,6,5,0.8,7,0,0,lac,14
1668,M. Burton,1,2,2.0,2,0,0,lac,14
1669,R. Mostert,21,96,4.6,15,2,0,ten,14
1670,D. Achane,7,47,6.7,15,0,0,ten,14
1671,T. Tagovailoa,3,15,5.0,8,0,0,ten,14
1672,D. Henry,17,34,2.0,6,2,0,mia,14
1673,T. Spears,7,29,4.1,8,0,0,mia,14
1674,W. Levis,4,15,3.8,11,0,1,mia,14
1675,T. Burks,1,5,5.0,5,0,0,mia,14
1676,C. Edwards-Helaire,11,39,3.5,7,0,0,buf,14
1677,J. McKinnon,4,19,4.8,7,1,0,buf,14
1678,K. Toney,2,16,8.0,14,0,0,buf,14
1679,P. Mahomes,1,8,8.0,8,0,0,buf,14
1680,J. Cook,10,58,5.8,15,0,0,kc,14
1681,J. Allen,10,32,3.2,8,1,0,kc,14
1682,T. Johnson,5,19,3.8,7,0,0,kc,14
1683,L. Murray,3,9,3.0,4,0,0,kc,14
1684,J. Fields,12,58,4.8,19,1,0,det,14
1685,D. Foreman,11,50,4.5,13,0,0,det,14
1686,D. Moore,3,20,6.7,16,1,0,det,14
1687,K. Herbert,3,8,2.7,4,0,0,det,14
1688,R. Johnson,1,6,6.0,6,0,0,det,14
1689,J. Gibbs,11,66,6.0,36,1,0,chi,14
1690,D. Montgomery,10,66,6.6,13,0,0,chi,14
1691,S. LaPorta,1,4,4.0,4,0,0,chi,14
1692,J. Williams,1,4,4.0,4,0,0,chi,14
1693,J. Goff,1,0,0.0,0,0,0,chi,14
1694,B. Hall,10,40,4.0,15,0,0,hou,14
1695,D. Cook,7,13,1.9,5,0,0,hou,14
1696,Z. Wilson,3,12,4.0,10,0,1,hou,14
1697,X. Gipson,1,9,9.0,9,1,0,hou,14
1698,N. Bawden,1,3,3.0,3,0,0,hou,14
1699,G. Wilson,1,3,3.0,3,0,0,hou,14
1700,I. Abanikanda,3,-1,-0.3,3,0,0,hou,14
1701,D. Singletary,13,65,5.0,17,1,0,nyj,14
1702,D. Pierce,4,9,2.3,4,0,0,nyj,14
1703,D. Ogunbowale,2,7,3.5,4,0,0,nyj,14
1704,T. Allgeier,9,40,4.4,9,0,0,tb,14
1705,B. Robinson,10,34,3.4,8,1,0,tb,14
1706,D. Ridder,4,15,3.8,7,1,0,tb,14
1707,C. Patterson,3,7,2.3,6,0,0,tb,14
1708,R. White,25,102,4.1,12,0,0,atl,14
1709,C. Edmonds,8,40,5.0,15,0,0,atl,14
1710,B. Mayfield,3,3,1.0,2,1,0,atl,14
1711,T. Palmer,1,3,3.0,3,0,0,atl,14
1712,A. Kamara,12,56,4.7,9,1,0,car,14
1713,J. Williams,11,43,3.9,12,0,0,car,14
1714,J. Winston,2,-2,-1.0,-1,0,0,car,14
1715,C. Hubbard,23,87,3.8,13,0,0,no,14
1716,M. Sanders,10,74,7.4,48,0,0,no,14
1717,B. Young,3,40,13.3,21,0,0,no,14
1718,I. Smith-Marsette,1,10,10.0,10,0,0,no,14
1719,R. Blackshear,1,4,4.0,4,0,0,no,14
1720,J. Hekker,1,-11,-11.0,-11,0,1,no,14
1721,J. Ford,12,51,4.3,26,0,0,jax,14
1722,K. Hunt,10,27,2.7,9,1,0,jax,14
1723,D. Thompson-Robinson,1,5,5.0,5,0,0,jax,14
1724,P. Strong Jr.,1,0,0.0,0,0,0,jax,14
1725,J. Flacco,4,-1,-0.3,2,0,0,jax,14
