,Total,Sack,Int,PD,FF,team,opp,weekn,home,points,pass_Comp,pass_Att,pass_Yds,pass_TD,rush_Rush,rush_Yds,rush_Avg,rush_TD,rec_Rec,rec_Yds,rec_Avg
95,74.0,2.0,0.0,4.0,0.0,nyg,sf,3,0,30,25,37,310,2,39.0,141.0,15.9,1.0,25.0,310.0,69.39999999999999
96,48.0,2.0,0.0,4.0,0.0,nyg,sea,4,1,24,15,26,173,1,23.0,121.0,21.8,1.0,15.0,173.0,75.0
97,87.0,11.0,2.0,4.0,2.0,sea,nyg,4,0,3,27,34,203,0,29.0,112.0,18.0,0.0,27.0,203.0,76.1
98,61.0,1.0,2.0,4.0,0.0,nyj,kc,4,1,23,18,30,203,1,35.0,204.0,28.9,1.0,18.0,203.0,92.0
99,49.0,2.0,0.0,3.0,1.0,kc,nyj,4,0,20,28,39,245,2,16.0,108.0,35.0,0.0,28.0,245.0,75.8
100,74.0,1.0,1.0,3.0,0.0,no,tb,4,1,26,25,33,246,3,33.0,114.0,20.4,0.0,25.0,246.0,59.5
101,54.0,3.0,1.0,4.0,2.0,tb,no,4,0,9,24,39,140,0,19.0,70.0,15.6,0.0,24.0,140.0,47.8
102,74.0,2.0,1.0,7.0,1.0,ind,lar,4,1,29,27,40,319,1,36.0,164.0,16.3,2.0,27.0,319.0,68.2
103,60.0,2.0,0.0,4.0,1.0,lar,ind,4,0,23,11,25,200,2,31.0,133.0,11.8,1.0,11.0,200.0,139.0
104,57.0,3.0,0.0,5.0,2.0,ten,cin,4,1,3,20,30,165,0,18.0,72.0,9.1,0.0,20.0,165.0,64.4
105,67.0,3.0,1.0,1.0,1.0,cin,ten,4,0,27,19,26,242,2,33.0,173.0,15.3,1.0,19.0,242.0,109.7
106,62.0,7.0,1.0,3.0,2.0,lac,lv,4,1,17,24,39,238,0,23.0,76.0,9.4,2.0,24.0,238.0,72.0
107,54.0,2.0,1.0,7.0,0.0,lv,lac,4,0,24,13,24,167,1,37.0,155.0,25.5,2.0,13.0,167.0,74.4
108,52.0,2.0,2.0,5.0,1.0,dal,ne,4,1,3,16,30,207,0,23.0,53.0,7.1000000000000005,0.0,16.0,207.0,103.8
109,72.0,3.0,0.0,2.0,2.0,ne,dal,4,0,38,30,36,281,1,30.0,124.0,66.7,1.0,30.0,281.0,71.4
110,72.0,5.0,0.0,5.0,1.0,phi,was,4,1,31,29,41,290,1,28.0,107.0,16.1,2.0,29.0,290.0,95.1
111,63.0,3.0,0.0,3.0,1.0,was,phi,4,0,34,25,37,319,2,27.0,104.0,11.3,1.0,25.0,319.0,63.3
112,61.0,3.0,1.0,5.0,2.0,hou,pit,4,1,6,18,28,132,0,25.0,114.0,18.2,0.0,18.0,132.0,72.89999999999999
113,70.0,0.0,0.0,4.0,1.0,pit,hou,4,0,30,17,31,312,3,38.0,139.0,21.5,0.0,17.0,312.0,122.7
114,64.0,1.0,0.0,0.0,0.0,sf,ari,4,1,16,28,41,265,2,25.0,105.0,13.7,0.0,28.0,265.0,52.7
115,58.0,1.0,0.0,0.0,0.0,ari,sf,4,0,35,20,21,283,1,31.0,124.0,11.1,4.0,20.0,283.0,87.8
116,51.0,4.0,2.0,9.0,1.0,jax,atl,4,1,7,19,31,191,1,22.0,127.0,15.8,0.0,19.0,191.0,47.5
117,73.0,2.0,0.0,0.0,2.0,atl,jax,4,0,23,23,30,207,1,32.0,105.0,9.4,0.0,23.0,207.0,47.6
118,47.0,1.0,0.0,1.0,0.0,chi,den,4,1,31,21,28,223,3,19.0,97.0,15.6,0.0,21.0,223.0,104.0
119,76.0,4.0,1.0,4.0,1.0,den,chi,4,0,28,28,35,335,4,31.0,171.0,35.1,0.0,28.0,335.0,86.1
120,46.0,2.0,2.0,3.0,0.0,car,min,4,1,21,12,19,139,2,23.0,135.0,13.6,0.0,12.0,139.0,50.7
121,85.0,5.0,0.0,3.0,2.0,min,car,4,0,13,25,32,204,0,31.0,83.0,22.4,0.0,25.0,204.0,60.400000000000006
122,58.0,3.0,0.0,3.0,0.0,cle,bal,4,1,28,15,19,186,2,33.0,131.0,22.2,2.0,15.0,186.0,80.2
123,50.0,3.0,3.0,10.0,0.0,bal,cle,4,0,3,19,36,121,0,25.0,93.0,3.1000000000000014,0.0,19.0,121.0,57.5
124,77.0,2.0,1.0,2.0,0.0,gb,det,4,1,34,19,28,210,1,43.0,211.0,53.8,3.0,19.0,210.0,59.0
125,48.0,5.0,2.0,6.0,1.0,det,gb,4,0,20,23,36,246,1,12.0,27.0,4.800000000000001,1.0,23.0,246.0,84.4
126,52.0,4.0,1.0,5.0,2.0,buf,mia,4,1,20,25,35,282,1,19.0,142.0,42.4,2.0,25.0,282.0,105.6
127,53.0,2.0,0.0,3.0,0.0,mia,buf,4,0,48,21,25,320,4,29.0,104.0,18.5,2.0,21.0,320.0,133.1
128,58.0,2.0,3.0,4.0,0.0,lv,gb,5,1,13,16,30,182,0,25.0,110.0,18.3,1.0,16.0,182.0,90.5
129,71.0,4.0,1.0,4.0,0.0,gb,lv,5,0,17,22,31,208,1,29.0,96.0,26.0,1.0,22.0,208.0,69.0
130,60.0,3.0,0.0,4.0,1.0,was,chi,5,1,40,15,29,282,4,32.0,178.0,22.4,0.0,15.0,282.0,42.2
131,73.0,5.0,1.0,5.0,1.0,chi,was,5,0,20,37,51,388,2,10.0,29.0,6.5,0.0,37.0,388.0,116.0
132,68.0,4.0,1.0,2.0,3.0,den,nyj,5,1,31,19,26,199,0,32.0,234.0,28.5,1.0,19.0,199.0,64.2
133,56.0,4.0,0.0,4.0,2.0,nyj,den,5,0,21,20,31,196,2,22.0,139.0,18.3,0.0,20.0,196.0,66.1
134,85.0,1.0,1.0,3.0,0.0,lar,phi,5,1,23,25,38,303,1,39.0,159.0,11.3,1.0,25.0,303.0,61.099999999999994
135,45.0,4.0,0.0,2.0,1.0,phi,lar,5,0,14,21,37,222,2,14.0,54.0,5.1,0.0,21.0,222.0,41.4
136,70.0,2.0,0.0,4.0,0.0,min,kc,5,1,27,31,41,281,2,21.0,67.0,12.7,1.0,31.0,281.0,108.2
137,58.0,3.0,0.0,8.0,1.0,kc,min,5,0,20,29,47,284,2,18.0,70.0,32.0,0.0,29.0,284.0,88.3
138,84.0,3.0,1.0,1.0,1.0,ari,cin,5,1,34,36,46,317,3,30.0,93.0,10.0,0.0,36.0,317.0,43.1
139,48.0,3.0,2.0,8.0,1.0,cin,ari,5,0,20,15,32,166,2,22.0,142.0,29.2,1.0,15.0,166.0,78.5
140,61.0,4.0,1.0,6.0,3.0,pit,bal,5,1,10,22,38,236,0,25.0,125.0,16.1,1.0,22.0,236.0,59.2
141,58.0,3.0,0.0,5.0,1.0,bal,pit,5,0,17,18,32,224,1,30.0,87.0,22.0,0.0,18.0,224.0,51.2
142,47.0,4.0,3.0,6.0,1.0,sf,dal,5,1,10,16,26,161,1,19.0,57.0,14.9,0.0,16.0,161.0,71.9
143,76.0,1.0,0.0,5.0,1.0,dal,sf,5,0,42,18,25,253,4,41.0,170.0,18.1,2.0,18.0,253.0,95.1
144,75.0,2.0,0.0,1.0,0.0,ne,no,5,1,34,18,26,183,2,42.0,136.0,13.7,1.0,18.0,183.0,63.3
145,43.0,2.0,2.0,8.0,0.0,no,ne,5,0,0,15,31,132,0,18.0,45.0,5.6,0.0,15.0,132.0,75.3
146,74.0,7.0,0.0,4.0,1.0,mia,nyg,5,1,16,23,32,205,0,29.0,85.0,16.099999999999998,0.0,23.0,205.0,76.9
147,50.0,1.0,2.0,6.0,2.0,nyg,mia,5,0,31,22,30,308,2,23.0,222.0,23.2,2.0,22.0,308.0,69.6
148,59.0,1.0,1.0,5.0,0.0,ind,ten,5,1,16,23,35,264,0,22.0,89.0,14.2,1.0,23.0,264.0,76.2
149,76.0,1.0,0.0,1.0,1.0,ten,ind,5,0,23,20,26,253,0,34.0,193.0,17.2,2.0,20.0,253.0,100.1
150,84.0,5.0,0.0,7.0,3.0,buf,jax,5,1,25,25,37,315,1,40.0,196.0,26.3,2.0,25.0,315.0,73.1
151,39.0,0.0,1.0,2.0,1.0,jax,buf,5,0,20,27,40,359,2,14.0,29.0,10.0,1.0,27.0,359.0,101.3
152,51.0,0.0,0.0,5.0,0.0,atl,hou,5,1,19,20,35,249,1,23.0,64.0,3.3,0.0,20.0,249.0,99.3
153,82.0,0.0,0.0,3.0,2.0,hou,atl,5,0,21,29,38,351,1,36.0,96.0,8.2,1.0,29.0,351.0,130.1
154,57.0,1.0,2.0,3.0,1.0,det,car,5,1,24,25,41,247,3,23.0,99.0,18.9,0.0,25.0,247.0,69.3
155,61.0,2.0,0.0,0.0,0.0,car,det,5,0,42,20,28,236,3,30.0,159.0,12.1,3.0,20.0,236.0,85.0
156,73.0,2.0,0.0,2.0,0.0,buf,nyg,6,1,9,24,36,200,0,34.0,132.0,14.0,0.0,24.0,200.0,42.0
157,56.0,0.0,1.0,3.0,1.0,nyg,buf,6,0,14,19,30,169,2,29.0,128.0,15.4,0.0,19.0,169.0,53.7
158,58.0,5.0,0.0,2.0,0.0,lac,dal,6,1,20,21,30,272,1,26.0,96.0,25.7,1.0,21.0,272.0,62.0
159,52.0,1.0,1.0,6.0,0.0,dal,lac,6,0,17,22,37,227,2,23.0,53.0,11.2,0.0,22.0,227.0,62.7
160,45.0,4.0,2.0,9.0,1.0,kc,den,6,1,8,13,22,95,1,23.0,115.0,18.3,0.0,13.0,95.0,37.2
161,65.0,2.0,1.0,5.0,1.0,den,kc,6,0,19,30,41,306,1,27.0,96.0,11.1,0.0,30.0,306.0,74.5
162,70.0,3.0,0.0,3.0,1.0,tb,det,6,1,20,30,44,353,2,22.0,40.0,10.0,0.0,30.0,353.0,123.2
163,47.0,1.0,1.0,9.0,0.0,det,tb,6,0,6,19,37,206,0,16.0,46.0,13.2,0.0,19.0,206.0,74.6
164,57.0,2.0,3.0,12.0,1.0,nyj,phi,6,1,14,28,45,280,1,22.0,80.0,15.2,1.0,28.0,280.0,63.9
165,52.0,5.0,0.0,5.0,0.0,phi,nyj,6,0,20,19,33,186,0,21.0,89.0,34.1,1.0,19.0,186.0,48.1
166,75.0,2.0,1.0,3.0,1.0,hou,no,6,1,13,33,51,357,1,25.0,89.0,16.1,0.0,33.0,357.0,98.6
167,55.0,2.0,1.0,3.0,0.0,no,hou,6,0,20,13,27,199,2,31.0,120.0,26.6,0.0,13.0,199.0,74.8
168,56.0,4.0,1.0,3.0,0.0,lv,ne,6,1,17,24,33,200,0,19.0,83.0,12.5,2.0,24.0,200.0,82.0
169,63.0,0.0,1.0,5.0,0.0,ne,lv,6,0,21,20,32,264,1,33.0,84.0,9.1,0.0,20.0,264.0,91.2
170,65.0,2.0,1.0,6.0,1.0,lar,ari,6,1,9,21,41,235,0,30.0,130.0,19.4,0.0,21.0,235.0,82.7
171,57.0,3.0,0.0,0.0,1.0,ari,lar,6,0,26,15,24,226,1,28.0,179.0,15.4,1.0,15.0,226.0,70.6
172,69.0,3.0,3.0,9.0,1.0,jax,ind,6,1,20,33,55,329,1,17.0,44.0,7.4,1.0,33.0,329.0,73.9
173,52.0,3.0,1.0,2.0,0.0,ind,jax,6,0,37,20,30,181,2,29.0,85.0,23.1,2.0,20.0,181.0,58.5
174,68.0,4.0,0.0,3.0,1.0,mia,car,6,1,21,24,39,224,1,25.0,108.0,10.2,1.0,24.0,224.0,69.2
175,61.0,0.0,1.0,6.0,0.0,car,mia,6,0,42,21,32,262,3,33.0,162.0,14.0,3.0,21.0,262.0,53.900000000000006
176,68.0,4.0,2.0,7.0,0.0,cin,sea,6,1,13,27,41,326,0,25.0,87.0,10.8,1.0,27.0,326.0,100.8
177,47.0,3.0,1.0,6.0,0.0,sea,cin,6,0,17,24,35,185,2,15.0,46.0,9.2,0.0,24.0,185.0,58.2
178,72.0,1.0,1.0,2.0,0.0,ten,bal,6,1,24,21,30,223,1,39.0,139.0,12.8,0.0,21.0,223.0,85.1
179,45.0,6.0,1.0,4.0,0.0,bal,ten,6,0,16,12,21,150,0,19.0,129.0,17.6,1.0,12.0,150.0,116.3
180,58.0,2.0,0.0,2.0,3.0,chi,min,6,1,19,21,31,181,1,22.0,46.0,6.9,0.0,21.0,181.0,50.3
181,71.0,5.0,2.0,7.0,2.0,min,chi,6,0,13,16,24,141,0,36.0,162.0,23.2,1.0,16.0,141.0,65.7
182,43.0,2.0,1.0,3.0,0.0,cle,sf,6,1,17,12,27,125,1,25.0,108.0,27.1,1.0,12.0,125.0,49.0
183,69.0,2.0,2.0,5.0,1.0,sf,cle,6,0,19,18,34,192,0,34.0,160.0,37.099999999999994,1.0,18.0,192.0,61.3
184,46.0,5.0,0.0,2.0,0.0,atl,was,6,1,24,14,23,151,3,22.0,72.0,14.7,0.0,14.0,151.0,39.5
185,77.0,3.0,3.0,9.0,0.0,was,atl,6,0,16,28,47,307,2,29.0,106.0,15.7,0.0,28.0,307.0,75.0
186,49.0,0.0,0.0,5.0,1.0,no,jax,7,1,31,21,30,217,1,26.0,113.0,11.2,2.0,21.0,217.0,54.5
187,78.0,1.0,1.0,9.0,1.0,jax,no,7,0,24,33,55,301,1,31.0,112.0,18.7,1.0,33.0,301.0,60.2
188,41.0,4.0,1.0,3.0,0.0,phi,mia,7,1,17,23,32,216,1,12.0,45.0,3.5,0.0,23.0,216.0,59.5
189,66.0,3.0,1.0,5.0,1.0,mia,phi,7,0,31,23,31,279,2,34.0,99.0,8.0,2.0,23.0,279.0,48.7
