,Receiving,Rec,Yds,Avg,Long,TD,Tgt,FL,opp,weekn
2268,G. Wilson,9,93,10.3,41,0,14,0,lv,10
2269,T. Conklin,7,70,10.0,27,0,7,0,lv,10
2270,B. Hall,3,47,15.7,35,0,3,0,lv,10
2271,X. Gipson,1,24,24.0,24,0,3,0,lv,10
2272,A. Lazard,1,17,17.0,17,0,5,0,lv,10
2273,M. Taylor,1,6,6.0,6,0,2,0,lv,10
2274,C. Uzomah,1,6,6.0,6,0,1,0,lv,10
2275,M. Carter,0,0,0.0,0,0,1,0,lv,10
2276,D. Cook,0,0,0.0,0,0,1,0,lv,10
2277,G. Davis,2,56,28.0,38,0,6,0,den,10
2278,D. Kincaid,5,51,10.2,22,1,6,0,den,10
2279,S. Diggs,3,34,11.3,14,0,5,0,den,10
2280,K. Shakir,1,24,24.0,24,0,2,0,den,10
2281,J. Cook,2,11,5.5,8,0,2,1,den,10
2282,L. Murray,2,1,0.5,2,0,3,0,den,10
2283,D. Harty,0,0,0.0,0,0,1,0,den,10
2284,C. Sutton,8,53,6.6,30,1,11,1,buf,10
2285,J. Jeudy,3,35,11.7,19,0,3,0,buf,10
2286,S. Perine,3,35,11.7,18,0,3,0,buf,10
2287,J. Williams,4,31,7.8,18,1,4,0,buf,10
2288,A. Trautman,2,15,7.5,9,0,2,0,buf,10
2289,L. Humphrey,1,14,14.0,14,0,1,0,buf,10
2290,C. Manhertz,1,6,6.0,6,0,1,0,buf,10
2291,J. McLaughlin,2,4,2.0,3,0,2,0,buf,10
2292,L. Krull,0,0,0.0,0,0,1,0,buf,10
2293,M. Mims Jr.,0,0,0.0,0,0,1,0,buf,10
2294,D. Metcalf,7,98,14.0,27,0,12,0,was,10
2295,T. Lockett,8,92,11.5,20,1,10,0,was,10
2296,K. Walker III,1,64,64.0,64,1,2,0,was,10
2297,J. Smith-Njigba,4,53,13.3,20,0,5,0,was,10
2298,W. Dissly,2,22,11.0,16,0,2,0,was,10
2299,Z. Charbonnet,4,18,4.5,6,0,5,0,was,10
2300,J. Bobo,2,13,6.5,11,0,2,0,was,10
2301,N. Fant,2,6,3.0,8,0,3,0,was,10
2302,C. Parkinson,1,3,3.0,3,0,1,0,was,10
2303,B. Robinson Jr.,6,119,19.8,51,1,6,0,sea,10
2304,A. Gibson,5,42,8.4,19,1,6,0,sea,10
2305,D. Brown,2,41,20.5,35,1,2,0,sea,10
2306,L. Thomas,5,40,8.0,17,0,5,0,sea,10
2307,T. McLaurin,4,33,8.3,13,0,8,0,sea,10
2308,J. Bates,3,21,7.0,12,0,3,0,sea,10
2309,B. Pringle,1,7,7.0,7,0,2,0,sea,10
2310,C. Samuel,2,6,3.0,6,0,6,0,sea,10
2311,A. Armah,1,3,3.0,3,0,1,0,sea,10
2312,J. Crowder,0,0,0.0,0,0,1,0,sea,10
2313,J. Dotson,0,0,0.0,0,0,2,0,sea,10
2314,M. Evans,6,143,23.8,43,1,10,0,ten,10
2315,C. Godwin,4,54,13.5,17,0,6,0,ten,10
2316,R. White,2,47,23.5,43,1,3,0,ten,10
2317,T. Palmer,2,21,10.5,15,0,4,0,ten,10
2318,C. Otton,2,10,5.0,6,0,3,0,ten,10
2319,D. Thompkins,1,5,5.0,5,0,2,0,ten,10
2320,C. Edmonds,1,-2,-2.0,-2,0,1,0,ten,10
2321,K. Philips,3,61,20.3,29,0,5,0,tb,10
2322,T. Spears,4,42,10.5,15,0,5,0,tb,10
2323,D. Hopkins,3,27,9.0,15,0,9,0,tb,10
2324,C. Okonkwo,3,27,9.0,15,0,6,0,tb,10
2325,C. Moore,2,21,10.5,11,0,4,0,tb,10
2326,J. Whyle,2,16,8.0,10,0,5,0,tb,10
2327,N. Westbrook-Ikhine,1,9,9.0,9,0,4,0,tb,10
2328,D. Henry,1,-4,-4.0,-4,0,1,0,tb,10
2329,J. Chase,5,124,24.8,64,1,6,0,hou,10
2330,T. Boyd,8,117,14.6,64,0,12,0,hou,10
2331,T. Irwin,2,54,27.0,32,1,4,0,hou,10
2332,T. Hudson,6,33,5.5,13,0,7,0,hou,10
2333,D. Sample,2,12,6.0,9,0,3,0,hou,10
2334,I. Smith Jr.,1,6,6.0,6,0,1,0,hou,10
2335,T. Williams,1,2,2.0,2,0,1,0,hou,10
2336,J. Mixon,2,-1,-0.5,0,0,3,0,hou,10
2337,A. Iosivas,0,0,0.0,0,0,1,0,hou,10
2338,M. Wilcox,0,0,0.0,0,0,1,0,hou,10
2339,N. Brown,7,172,24.6,34,0,8,0,cin,10
2340,D. Schultz,4,71,17.8,25,0,6,0,cin,10
2341,T. Dell,6,56,9.3,17,1,14,0,cin,10
2342,J. Metchie III,2,25,12.5,19,0,2,0,cin,10
2343,R. Woods,1,15,15.0,15,0,3,0,cin,10
2344,D. Singletary,1,11,11.0,11,0,2,0,cin,10
2345,M. Boone,2,6,3.0,4,0,3,0,cin,10
2346,X. Hutchinson,0,0,0.0,0,0,1,0,cin,10
2347,G. Pickens,3,45,15.0,28,0,4,0,gb,10
2348,C. Heyward,3,32,10.7,13,0,4,0,gb,10
2349,D. Johnson,1,17,17.0,17,0,4,0,gb,10
2350,N. Harris,3,14,4.7,8,0,4,0,gb,10
2351,J. Warren,2,9,4.5,6,0,4,0,gb,10
2352,D. Washington,1,6,6.0,6,0,1,0,gb,10
2353,C. Austin III,1,3,3.0,3,0,1,0,gb,10
2354,J. Reed,5,84,16.8,46,1,5,0,pit,10
2355,L. Musgrave,2,64,32.0,36,0,4,0,pit,10
2356,D. Wicks,3,51,17.0,32,0,4,0,pit,10
2357,R. Doubs,3,31,10.3,20,1,5,0,pit,10
2358,C. Watson,2,23,11.5,14,0,7,0,pit,10
2359,A. Jones,4,19,4.8,12,0,6,0,pit,10
2360,A. Dillon,1,11,11.0,11,0,3,0,pit,10
2361,T. Kraft,1,6,6.0,6,0,3,0,pit,10
2362,D. Douglas,6,84,14.0,30,0,9,0,ind,10
2363,E. Elliott,2,34,17.0,19,0,2,0,ind,10
2364,M. Gesicki,2,22,11.0,11,0,3,0,ind,10
2365,H. Henry,3,21,7.0,11,0,5,0,ind,10
2366,R. Stevenson,3,14,4.7,7,0,5,0,ind,10
2367,K. Boutte,1,11,11.0,11,0,1,0,ind,10
2368,J. Smith-Schuster,1,9,9.0,9,0,1,0,ind,10
2369,M. Pittman Jr.,8,84,10.5,14,0,12,0,ne,10
2370,J. Downs,2,40,20.0,28,0,3,0,ne,10
2371,I. McKenzie,4,31,7.8,30,0,4,0,ne,10
2372,A. Pierce,1,21,21.0,21,0,1,0,ne,10
2373,W. Mallory,1,7,7.0,7,0,2,0,ne,10
2374,J. Taylor,1,6,6.0,6,0,1,0,ne,10
2375,K. Granson,1,5,5.0,5,0,2,0,ne,10
2376,M. Alie-Cox,0,0,0.0,0,0,1,0,ne,10
2377,T. Hockenson,11,134,12.2,28,1,15,0,no,10
2378,J. Addison,4,69,17.3,29,0,7,0,no,10
2379,B. Powell,4,35,8.8,14,0,5,0,no,10
2380,J. Nailor,1,16,16.0,16,0,1,0,no,10
2381,J. Mundt,2,8,4.0,8,0,2,0,no,10
2382,A. Mattison,1,6,6.0,6,0,2,0,no,10
2383,C. Olave,6,94,15.7,26,1,9,0,min,10
2384,A. Perry,2,38,19.0,23,1,4,0,min,10
2385,A. Kamara,7,33,4.7,13,0,7,0,min,10
2386,R. Shaheed,5,24,4.8,15,0,9,0,min,10
2387,T. Hill,2,17,8.5,11,0,4,0,min,10
2388,L. Bowden Jr.,1,12,12.0,12,0,1,0,min,10
2389,M. Thomas,1,9,9.0,9,0,2,0,min,10
2390,J. Williams,1,3,3.0,3,0,1,0,min,10
2391,J. Johnson,1,2,2.0,2,0,3,0,min,10
2392,C. Kirk,6,104,17.3,39,0,11,1,sf,10
2393,D. Johnson,2,28,14.0,15,0,2,0,sf,10
2394,C. Ridley,2,20,10.0,11,0,3,0,sf,10
2395,T. Jones,2,17,8.5,12,0,2,0,sf,10
2396,E. Engram,4,12,3.0,6,0,7,0,sf,10
2397,T. Etienne Jr.,2,9,4.5,5,0,4,0,sf,10
2398,T. Bigsby,0,0,0.0,0,0,1,0,sf,10
2399,B. Strange,0,0,0.0,0,0,1,0,sf,10
2400,G. Kittle,3,116,38.7,66,1,4,0,jax,10
2401,B. Aiyuk,3,55,18.3,21,1,3,0,jax,10
2402,C. McCaffrey,6,47,7.8,17,0,10,0,jax,10
2403,D. Samuel,4,30,7.5,9,0,4,0,jax,10
2404,K. Juszczyk,2,26,13.0,22,1,3,0,jax,10
2405,R. Bell,1,20,20.0,20,0,1,0,jax,10
2406,J. Jennings,1,8,8.0,8,0,2,0,jax,10
2407,Z. Flowers,5,73,14.6,18,0,6,0,cle,10
2408,M. Andrews,2,44,22.0,36,0,4,0,cle,10
2409,O. Beckham Jr.,1,40,40.0,40,1,2,0,cle,10
2410,K. Mitchell,1,32,32.0,32,0,2,0,cle,10
2411,R. Bateman,2,25,12.5,18,0,4,0,cle,10
2412,I. Likely,1,5,5.0,5,0,1,0,cle,10
2413,G. Edwards,1,4,4.0,4,0,1,0,cle,10
2414,N. Agholor,0,0,0.0,0,0,2,0,cle,10
2415,P. Ricard,0,0,0.0,0,0,1,0,cle,10
2416,A. Cooper,6,98,16.3,28,0,9,0,bal,10
2417,D. Njoku,6,58,9.7,23,0,9,0,bal,10
2418,E. Moore,5,44,8.8,19,1,7,0,bal,10
2419,J. Akins,1,8,8.0,8,0,1,0,bal,10
2420,H. Bryant,1,3,3.0,3,0,1,0,bal,10
2421,J. Ford,1,2,2.0,2,0,1,0,bal,10
2422,J. Proche II,0,0,0.0,0,0,1,0,bal,10
2423,C. Tillman,0,0,0.0,0,0,3,0,bal,10
2424,T. Hill,10,146,14.6,38,1,11,0,lv,11
2425,J. Waddle,4,55,13.8,19,0,8,0,lv,11
2426,R. Chosen,2,39,19.5,30,0,2,0,lv,11
2427,S. Ahmed,3,25,8.3,11,1,3,0,lv,11
2428,C. Wilson Jr.,3,23,7.7,12,0,4,0,lv,11
2429,A. Ingold,3,16,5.3,9,0,4,0,lv,11
2430,J. Hill,1,10,10.0,10,0,1,1,lv,11
2431,R. Mostert,1,7,7.0,7,0,2,0,lv,11
2432,D. Achane,1,4,4.0,4,0,1,0,lv,11
2433,D. Adams,7,82,11.7,46,1,13,0,mia,11
2434,J. Meyers,4,49,12.3,24,0,5,0,mia,11
2435,M. Mayer,4,46,11.5,17,0,5,0,mia,11
2436,H. Renfrow,5,42,8.4,31,0,5,0,mia,11
2437,T. Tucker,2,36,18.0,19,0,7,0,mia,11
2438,J. Jacobs,1,12,12.0,12,0,1,0,mia,11
2439,A. Abdullah,1,4,4.0,4,0,1,0,mia,11
2440,A. Hooper,0,0,0.0,0,0,1,0,mia,11
2441,K. Shakir,3,115,38.3,81,1,4,0,nyj,11
2442,T. Johnson,3,47,15.7,28,1,3,0,nyj,11
2443,D. Kincaid,6,46,7.7,16,0,7,0,nyj,11
2444,J. Cook,3,29,9.7,15,1,4,0,nyj,11
2445,S. Diggs,4,27,6.8,11,0,8,0,nyj,11
2446,Q. Morris,1,11,11.0,11,0,2,0,nyj,11
2447,D. Harty,0,0,0.0,0,0,1,0,nyj,11
2448,B. Hall,5,50,10.0,15,1,6,0,buf,11
2449,J. Ruckert,3,25,8.3,18,0,4,0,buf,11
2450,T. Conklin,2,18,9.0,13,0,3,0,buf,11
2451,B. Echols,1,18,18.0,18,0,1,0,buf,11
2452,G. Wilson,2,9,4.5,5,0,8,1,buf,11
2453,X. Gipson,1,7,7.0,7,0,2,0,buf,11
2454,I. Abanikanda,1,5,5.0,5,0,2,0,buf,11
2455,D. Cook,0,0,0.0,0,0,1,0,buf,11
2456,A. Lazard,0,0,0.0,0,0,1,0,buf,11
2457,C. Sutton,4,66,16.5,33,1,5,0,min,11
2458,S. Perine,7,60,8.6,17,0,7,0,min,11
2459,J. Jeudy,5,58,11.6,19,0,7,0,min,11
2460,A. Trautman,2,33,16.5,19,0,2,0,min,11
2461,J. Williams,2,16,8.0,13,0,2,0,min,11
2462,J. McLaughlin,5,14,2.8,9,0,5,0,min,11
2463,M. Mims Jr.,2,12,6.0,8,0,3,0,min,11
2464,L. Humphrey,0,0,0.0,0,0,1,0,min,11
2465,T. Hockenson,4,55,13.8,29,0,7,0,den,11
2466,J. Oliver,4,47,11.8,29,1,4,0,den,11
2467,J. Addison,3,44,14.7,18,0,6,0,den,11
2468,T. Chandler,4,37,9.3,19,0,4,0,den,11
2469,B. Powell,3,32,10.7,22,0,4,0,den,11
2470,K. Osborn,1,7,7.0,7,0,2,0,den,11
2471,A. Mattison,1,-1,-1.0,-1,0,2,0,den,11
2472,J. Watson,5,53,10.6,17,1,11,0,phi,11
2473,T. Kelce,7,44,6.3,13,1,9,1,phi,11
2474,R. Rice,4,42,10.5,17,0,5,0,phi,11
2475,M. Hardman Jr.,2,12,6.0,7,0,2,0,phi,11
2476,K. Toney,2,12,6.0,7,0,2,0,phi,11
2477,J. McKinnon,2,8,4.0,4,0,3,0,phi,11
2478,S. Moore,1,4,4.0,4,0,2,0,phi,11
2479,I. Pacheco,1,2,2.0,2,0,1,0,phi,11
2480,N. Gray,0,0,0.0,0,0,1,0,phi,11
2481,M. Valdes-Scantling,0,0,0.0,0,0,3,0,phi,11
2482,D. Smith,6,99,16.5,41,0,8,0,kc,11
2483,D. Swift,3,31,10.3,20,0,3,0,kc,11
2484,A. Brown,1,8,8.0,8,0,4,0,kc,11
2485,J. Jones,2,5,2.5,5,0,2,0,kc,11
2486,K. Gainwell,1,4,4.0,4,0,1,0,kc,11
2487,J. Stoll,1,3,3.0,3,0,2,0,kc,11
2488,O. Zaccheaus,0,0,0.0,0,0,1,0,kc,11
2489,O. Beckham Jr.,4,116,29.0,51,0,7,0,cin,11
2490,Z. Flowers,3,43,14.3,33,0,4,0,cin,11
2491,N. Agholor,1,37,37.0,37,1,1,0,cin,11
2492,M. Andrews,2,23,11.5,14,0,2,0,cin,11
2493,C. Kolar,1,13,13.0,13,0,1,0,cin,11
2494,R. Bateman,1,10,10.0,10,1,2,0,cin,11
2495,G. Edwards,2,8,4.0,4,0,2,0,cin,11
2496,K. Mitchell,1,8,8.0,8,0,1,0,cin,11
2497,J. Hill,1,6,6.0,6,0,1,0,cin,11
2498,I. Likely,0,0,0.0,0,0,2,0,cin,11
2499,T. Hudson,4,49,12.3,21,0,4,0,bal,11
2500,T. Irwin,3,36,12.0,14,0,5,0,bal,11
2501,J. Mixon,5,31,6.2,9,1,5,0,bal,11
2502,T. Boyd,3,22,7.3,13,0,6,0,bal,11
2503,D. Sample,2,19,9.5,13,0,2,0,bal,11
2504,J. Chase,2,12,6.0,10,1,7,0,bal,11
2505,S. Jackson,0,0,0.0,0,0,1,0,bal,11
2506,I. Smith Jr.,0,0,0.0,0,0,1,0,bal,11
2507,B. Aiyuk,5,156,31.2,76,1,6,0,tb,11
2508,G. Kittle,8,89,11.1,24,1,9,0,tb,11
2509,D. Samuel,3,63,21.0,40,0,4,0,tb,11
2510,C. McCaffrey,5,25,5.0,11,1,5,0,tb,11
2511,J. Jennings,0,0,0.0,0,0,1,0,tb,11
2512,C. Otton,4,49,12.3,27,0,5,0,sf,11
2513,M. Evans,5,43,8.6,13,1,12,0,sf,11
2514,R. Jarrett,1,41,41.0,41,0,2,0,sf,11
2515,C. Godwin,6,39,6.5,11,0,7,0,sf,11
2516,R. White,6,28,4.7,11,0,7,0,sf,11
2517,T. Palmer,4,22,5.5,17,0,6,0,sf,11
2518,P. Durham,2,13,6.5,8,0,2,0,sf,11
2519,C. Edmonds,1,11,11.0,11,0,1,0,sf,11
2520,D. Thompkins,0,0,0.0,0,0,1,0,sf,11
2521,B. Robinson Jr.,7,59,8.4,21,0,9,0,nyg,11
2522,L. Thomas,5,58,11.6,29,0,8,1,nyg,11
2523,T. McLaurin,5,43,8.6,11,0,7,0,nyg,11
2524,J. Dotson,3,23,7.7,12,1,4,0,nyg,11
2525,B. Pringle,3,22,7.3,14,0,3,0,nyg,11
2526,J. Bates,2,15,7.5,8,0,2,0,nyg,11
2527,J. Crowder,2,12,6.0,7,0,2,0,nyg,11
2528,D. Brown,1,7,7.0,7,0,3,0,nyg,11
2529,C. Turner,1,7,7.0,7,0,1,0,nyg,11
2530,C. Rodriguez Jr.,1,5,5.0,5,0,1,0,nyg,11
2531,C. Samuel,1,5,5.0,5,0,2,0,nyg,11
2532,D. Slayton,4,82,20.5,40,1,5,0,was,11
2533,S. Barkley,4,57,14.3,24,2,5,0,was,11
2534,D. Bellinger,3,38,12.7,26,0,3,0,was,11
2535,W. Robinson,3,35,11.7,21,0,4,0,was,11
2536,I. Hodgins,2,22,11.0,16,0,3,0,was,11
2537,J. Hyatt,1,7,7.0,7,0,2,0,was,11
2538,S. Shepard,1,5,5.0,5,0,3,0,was,11
2539,M. Breida,0,0,0.0,0,0,1,0,was,11
2540,P. Nacua,5,70,14.0,32,1,7,0,sea,11
2541,D. Henderson Jr.,4,28,7.0,14,0,7,0,sea,11
2542,D. Robinson,2,24,12.0,23,0,2,0,sea,11
2543,A. Trammell,3,23,7.7,14,0,6,0,sea,11
2544,T. Atwell,1,17,17.0,17,0,3,0,sea,11
2545,T. Higbee,1,17,17.0,17,0,3,0,sea,11
2546,C. Kupp,1,11,11.0,11,0,1,0,sea,11
2547,D. Metcalf,5,94,18.8,53,1,9,0,lar,11
2548,T. Lockett,5,51,10.2,13,0,7,0,lar,11
2549,J. Smith-Njigba,3,40,13.3,32,0,6,0,lar,11
2550,Z. Charbonnet,6,22,3.7,9,0,6,0,lar,11
2551,D. Dallas,1,10,10.0,10,0,1,0,lar,11
2552,W. Dissly,1,9,9.0,9,0,3,0,lar,11
2553,J. Bobo,1,8,8.0,8,0,2,0,lar,11
2554,N. Fant,1,4,4.0,4,0,2,0,lar,11
2555,K. Walker III,1,-2,-2.0,-2,0,1,0,lar,11
2556,D. Eskridge,0,0,0.0,0,0,1,0,lar,11
2557,D. Wicks,3,91,30.3,35,0,5,0,lac,11
2558,R. Doubs,5,53,10.6,24,1,6,0,lac,11
2559,J. Reed,4,46,11.5,19,0,6,0,lac,11
2560,A. Dillon,4,32,8.0,20,0,4,0,lac,11
2561,T. Kraft,2,32,16.0,27,0,2,0,lac,11
2562,L. Musgrave,4,28,7.0,11,0,6,0,lac,11
2563,C. Watson,2,21,10.5,11,1,4,0,lac,11
2564,E. Wilson,1,9,9.0,9,0,2,0,lac,11
2565,M. Heath,1,7,7.0,7,0,1,0,lac,11
2566,A. Jones,1,3,3.0,3,0,2,0,lac,11
2567,K. Allen,10,116,11.6,38,1,16,0,gb,11
2568,D. Parham Jr.,4,57,14.3,21,0,6,0,gb,11
2569,S. Smartt,1,51,51.0,51,1,3,0,gb,11
2570,Q. Johnston,2,21,10.5,17,0,6,0,gb,11
2571,A. Erickson,1,12,12.0,12,0,1,0,gb,11
2572,A. Ekeler,2,6,3.0,6,0,3,0,gb,11
2573,D. Davis,1,-3,-3.0,-3,0,1,0,gb,11
2574,A. Thielen,8,74,9.3,16,0,11,0,dal,11
2575,S. Sullivan,1,20,20.0,20,0,1,0,dal,11
2576,L. Shenault Jr.,2,9,4.5,5,0,2,0,dal,11
2577,C. Hubbard,2,8,4.0,6,0,2,0,dal,11
2578,J. Mingo,1,6,6.0,6,0,6,0,dal,11
2579,T. Tremble,1,4,4.0,4,1,3,0,dal,11
2580,M. Sanders,1,2,2.0,2,0,1,0,dal,11
2581,B. Cooks,3,42,14.0,22,0,4,0,car,11
2582,C. Lamb,6,38,6.3,10,1,9,0,car,11
2583,J. Ferguson,3,32,10.7,24,0,5,0,car,11
2584,M. Gallup,3,31,10.3,19,0,5,0,car,11
2585,L. Schoonmaker,2,23,11.5,18,1,2,0,car,11
2586,T. Pollard,4,19,4.8,12,0,5,0,car,11
2587,J. Tolbert,2,12,6.0,7,0,5,0,car,11
2588,K. Turpin,2,10,5.0,10,0,3,0,car,11
2589,R. Dowdle,2,-3,-1.5,-1,0,2,0,car,11
2590,E. Moore,6,60,10.0,15,0,7,0,pit,11
2591,D. Njoku,7,56,8.0,18,0,15,0,pit,11
2592,A. Cooper,4,34,8.5,11,0,8,0,pit,11
2593,J. Ford,2,8,4.0,5,0,5,0,pit,11
2594,P. Strong Jr.,1,4,4.0,4,0,1,0,pit,11
2595,C. Tillman,1,2,2.0,2,0,2,0,pit,11
2596,K. Hunt,3,1,0.3,5,0,3,0,pit,11
2597,G. Pickens,4,38,9.5,14,0,6,0,cle,11
2598,A. Robinson II,3,20,6.7,11,0,4,0,cle,11
2599,J. Warren,3,16,5.3,14,0,3,0,cle,11
2600,D. Johnson,2,16,8.0,7,0,8,0,cle,11
2601,D. Washington,1,8,8.0,8,0,1,0,cle,11
2602,P. Freiermuth,1,7,7.0,7,0,1,0,cle,11
2603,N. Harris,1,1,1.0,1,0,2,0,cle,11
2604,T. Hockenson,5,50,10.0,17,1,6,0,chi,12
2605,B. Powell,3,45,15.0,28,0,3,0,chi,12
2606,J. Addison,6,39,6.5,14,0,10,0,chi,12
2607,K. Osborn,3,34,11.3,22,0,4,0,chi,12
2608,A. Mattison,2,11,5.5,11,0,2,0,chi,12
2609,C. Ham,2,3,1.5,4,0,3,0,chi,12
2610,T. Chandler,1,3,3.0,3,0,2,0,chi,12
2611,D. Moore,11,114,10.4,36,0,13,0,min,12
2612,C. Kmet,7,43,6.1,24,0,7,0,min,12
2613,R. Johnson,5,40,8.0,22,0,5,0,min,12
2614,K. Herbert,2,14,7.0,13,0,2,0,min,12
2615,D. Mooney,2,6,3.0,10,0,3,0,min,12
2616,T. Taylor,0,0,0.0,0,0,1,0,min,12
2617,R. Tonyan,0,0,0.0,0,0,1,0,min,12
2618,C. Ridley,7,103,14.7,34,2,9,0,ten,11
2619,C. Kirk,3,48,16.0,20,0,6,0,ten,11
2620,D. Johnson,1,34,34.0,34,0,1,0,ten,11
2621,E. Engram,4,29,7.3,13,0,6,0,ten,11
2622,L. Farrell,2,21,10.5,14,0,2,0,ten,11
2623,Z. Jones,4,20,5.0,8,0,4,0,ten,11
2624,T. Etienne Jr.,3,7,2.3,5,0,3,0,ten,11
2625,D. Hopkins,4,59,14.8,43,1,5,0,jax,11
2626,C. Moore,1,49,49.0,49,0,1,0,jax,11
2627,T. Spears,2,12,6.0,6,0,2,0,jax,11
2628,K. Philips,1,10,10.0,10,0,1,0,jax,11
2629,N. Westbrook-Ikhine,1,7,7.0,7,0,1,0,jax,11
2630,J. Whyle,1,7,7.0,7,0,2,0,jax,11
2631,D. Henry,1,6,6.0,6,0,2,0,jax,11
2632,C. Okonkwo,1,6,6.0,6,0,2,0,jax,11
2633,J. Simmons,1,2,2.0,2,1,1,0,jax,11
2634,T. Dell,8,149,18.6,40,1,10,0,ari,11
2635,N. Collins,7,65,9.3,23,0,11,0,ari,11
2636,R. Woods,5,44,8.8,17,0,8,0,ari,11
2637,D. Schultz,2,32,16.0,20,1,3,0,ari,11
2638,S. Sims Jr.,2,25,12.5,23,0,2,0,ari,11
2639,J. Metchie III,1,12,12.0,12,0,1,0,ari,11
2640,D. Singletary,2,6,3.0,4,0,2,0,ari,11
2641,M. Boone,1,5,5.0,5,0,1,0,ari,11
2642,G. Dortch,6,76,12.7,31,0,8,0,hou,11
2643,R. Moore,1,48,48.0,48,1,1,0,hou,11
2644,T. McBride,5,43,8.6,13,0,7,0,hou,11
2645,M. Brown,2,18,9.0,13,0,5,0,hou,11
2646,G. Swaim,2,15,7.5,8,0,2,0,hou,11
2647,T. Jones Jr.,1,11,11.0,11,0,1,0,hou,11
2648,E. Higgins,1,2,2.0,2,0,2,0,hou,11
2649,J. Conner,2,1,0.5,6,0,3,0,hou,11
2650,A. St. Brown,9,95,10.6,28,0,11,0,gb,12
2651,K. Raymond,5,90,18.0,24,0,5,0,gb,12
2652,J. Williams,2,51,25.5,38,0,3,0,gb,12
2653,S. LaPorta,5,47,9.4,31,1,8,0,gb,12
2654,J. Gibbs,4,19,4.8,7,0,8,0,gb,12
2655,J. Reynolds,2,15,7.5,12,1,4,0,gb,12
2656,B. Wright,1,9,9.0,9,0,1,0,gb,12
2657,M. Rodriguez,1,6,6.0,6,0,1,0,gb,12
2658,D. Montgomery,0,0,0.0,0,0,1,0,gb,12
2659,C. Watson,5,94,18.8,53,1,7,0,det,12
2660,M. Heath,4,46,11.5,16,0,4,0,det,12
2661,A. Dillon,3,38,12.7,22,0,3,0,det,12
2662,R. Doubs,3,37,12.3,16,0,4,0,det,12
2663,J. Reed,4,34,8.5,14,1,8,0,det,12
2664,T. Kraft,2,15,7.5,9,1,2,0,det,12
2665,P. Taylor,1,4,4.0,4,0,1,0,det,12
2666,B. Sims,0,0,0.0,0,0,1,0,det,12
2667,A. St. Brown,8,77,9.6,16,1,11,0,chi,11
2668,J. Gibbs,6,59,9.8,14,0,6,0,chi,11
2669,J. Williams,2,44,22.0,32,1,3,0,chi,11
2670,D. Montgomery,2,22,11.0,13,0,2,0,chi,11
2671,S. LaPorta,3,18,6.0,8,0,5,0,chi,11
2672,J. Reynolds,1,11,11.0,11,0,2,0,chi,11
2673,K. Raymond,1,5,5.0,5,0,2,0,chi,11
2674,D. Peoples-Jones,0,0,0.0,0,0,1,0,chi,11
2675,D. Moore,7,96,13.7,39,1,9,0,det,11
2676,D. Mooney,1,24,24.0,24,0,1,0,det,11
2677,C. Kmet,3,20,6.7,11,0,4,0,det,11
2678,E. St. Brown,2,19,9.5,13,0,2,0,det,11
2679,K. Herbert,2,6,3.0,5,0,3,0,det,11
2680,T. Scott,1,4,4.0,4,0,2,1,det,11
2681,M. Lewis,0,0,0.0,0,0,1,0,det,11
2682,K. Allen,14,106,7.6,21,0,16,1,bal,12
2683,G. Everett,4,43,10.8,31,1,4,0,bal,12
2684,A. Ekeler,5,32,6.4,14,0,6,1,bal,12
2685,A. Erickson,1,17,17.0,17,0,3,0,bal,12
2686,Q. Johnston,1,7,7.0,7,0,3,0,bal,12
2687,J. Kelley,2,6,3.0,6,0,2,0,bal,12
2688,J. Guyton,1,4,4.0,4,0,5,0,bal,12
2689,D. Davis,1,2,2.0,2,0,1,0,bal,12
2690,S. Smartt,0,0,0.0,0,0,1,0,bal,12
2691,I. Likely,4,40,10.0,18,0,6,0,lac,12
2692,O. Beckham Jr.,3,34,11.3,14,0,5,0,lac,12
2693,Z. Flowers,5,25,5.0,18,1,8,0,lac,12
2694,K. Mitchell,2,25,12.5,14,0,2,0,lac,12
2695,R. Bateman,2,21,10.5,12,0,5,0,lac,12
2696,N. Agholor,1,21,21.0,21,0,2,0,lac,12
2697,G. Edwards,1,11,11.0,11,0,1,0,lac,12
2698,J. Hill,0,0,0.0,0,0,1,0,lac,12
2699,J. Meyers,6,79,13.2,33,1,7,0,kc,12
2700,D. Adams,5,73,14.6,33,0,7,0,kc,12
2701,H. Renfrow,4,38,9.5,16,0,4,0,kc,12
2702,M. Mayer,2,27,13.5,17,0,4,0,kc,12
2703,J. Jacobs,4,15,3.8,8,0,6,0,kc,12
2704,A. Hooper,1,14,14.0,14,0,2,0,kc,12
2705,A. Abdullah,1,2,2.0,2,0,1,0,kc,12
2706,T. Tucker,0,0,0.0,0,0,1,0,kc,12
2707,R. Rice,8,107,13.4,39,1,10,0,lv,12
2708,T. Kelce,6,91,15.2,27,0,7,0,lv,12
2709,I. Pacheco,5,34,6.8,14,0,5,0,lv,12
2710,S. Moore,3,34,11.3,18,0,3,0,lv,12
2711,N. Gray,3,30,10.0,13,0,3,0,lv,12
2712,J. Watson,1,3,3.0,3,1,3,0,lv,12
2713,M. Valdes-Scantling,1,-1,-1.0,-1,0,1,0,lv,12
2714,M. Pittman Jr.,10,107,10.7,24,0,13,0,tb,12
2715,J. Downs,5,43,8.6,13,0,13,0,tb,12
