,Receiving,Rec,Yds,Avg,Long,TD,Tgt,FL,opp,weekn
1605,Jaylen Waddle,7,51,7.3,17,1,9,0,car,6
1606,Braxton Berrios,2,20,10.0,10,0,2,0,car,6
1607,Raheem Mostert,3,17,5.7,8,1,3,0,car,6
1608,Salvon Ahmed,3,11,3.7,9,0,5,0,car,6
1609,Durham Smythe,0,0,0.0,0,0,1,0,car,6
1610,Adam Thielen,11,115,10.5,27,1,13,0,mia,6
1611,DJ Chark Jr.,3,26,8.7,24,0,6,0,mia,6
1612,Tommy Tremble,2,25,12.5,21,0,2,0,mia,6
1613,Jonathan Mingo,2,21,10.5,11,0,3,0,mia,6
1614,Hayden Hurst,1,16,16.0,16,0,3,0,mia,6
1615,Laviska Shenault Jr.,3,15,5.0,8,0,3,0,mia,6
1616,Raheem Blackshear,1,4,4.0,4,0,1,0,mia,6
1617,Chuba Hubbard,1,2,2.0,2,0,1,0,mia,6
1618,Terrace Marshall Jr.,0,0,0.0,0,0,3,0,mia,6
1619,Ja'Marr Chase,6,80,13.3,31,0,13,0,sea,6
1620,Tyler Boyd,7,38,5.4,9,1,7,0,sea,6
1621,Joe Mixon,3,24,8.0,11,0,4,0,sea,6
1622,Tee Higgins,2,20,10.0,11,0,4,0,sea,6
1623,Chase Brown,1,8,8.0,8,0,1,0,sea,6
1624,Irv Smith Jr.,1,5,5.0,5,0,2,0,sea,6
1625,Drew Sample,1,4,4.0,4,0,1,0,sea,6
1626,Trayveon Williams,2,3,1.5,5,0,2,0,sea,6
1627,Andrei Iosivas,1,3,3.0,3,1,1,0,sea,6
1628,Tyler Lockett,6,94,15.7,36,0,8,0,cin,6
1629,DK Metcalf,4,69,17.3,30,0,9,0,cin,6
1630,Jaxon Smith-Njigba,4,48,12.0,18,0,5,0,cin,6
1631,Jake Bobo,2,43,21.5,23,0,2,0,cin,6
1632,Kenneth Walker III,3,27,9.0,15,0,3,0,cin,6
1633,Colby Parkinson,3,19,6.3,8,0,5,0,cin,6
1634,Zach Charbonnet,2,14,7.0,10,0,2,0,cin,6
1635,Noah Fant,1,9,9.0,9,0,1,0,cin,6
1636,Will Dissly,1,4,4.0,4,0,1,0,cin,6
1637,DeeJay Dallas,1,-1,-1.0,-1,0,1,0,cin,6
1638,Tyjae Spears,1,48,48.0,48,0,1,0,bal,6
1639,Nick Westbrook-Ikhine,3,25,8.3,10,0,4,0,bal,6
1640,DeAndre Hopkins,1,20,20.0,20,0,5,0,bal,6
1641,Chig Okonkwo,2,18,9.0,11,0,4,0,bal,6
1642,Derrick Henry,2,16,8.0,9,0,2,0,bal,6
1643,Josh Whyle,1,11,11.0,11,0,1,0,bal,6
1644,Chris Moore,1,6,6.0,6,0,1,0,bal,6
1645,Kyle Philips,1,6,6.0,6,0,2,0,bal,6
1646,Mark Andrews,4,69,17.3,38,0,6,0,ten,6
1647,Zay Flowers,6,50,8.3,14,1,8,0,ten,6
1648,Justice Hill,3,0,0.0,2,0,3,0,ten,6
1649,Nelson Agholor,2,40,20.0,21,0,3,0,ten,6
1650,Odell Beckham Jr.,2,34,17.0,32,0,4,0,ten,6
1651,Rashod Bateman,2,15,7.5,8,0,3,0,ten,6
1652,Gus Edwards,1,12,12.0,12,0,1,0,ten,6
1653,Patrick Ricard,1,3,3.0,3,0,1,0,ten,6
1654,DJ Moore,5,51,10.2,24,0,8,0,min,6
1655,Darnell Mooney,2,48,24.0,39,0,3,0,min,6
1656,Tyler Scott,2,12,6.0,7,0,4,0,min,6
1657,Robert Tonyan,1,11,11.0,11,0,1,0,min,6
1658,Cole Kmet,2,9,4.5,7,0,3,0,min,6
1659,Velus Jones Jr.,1,5,5.0,5,0,1,0,min,6
1660,Darrynton Evans,1,2,2.0,2,0,1,0,min,6
1661,D'Onta Foreman,1,2,2.0,2,0,1,0,min,6
1662,Khari Blasingame,1,1,1.0,1,0,1,0,min,6
1663,Trent Taylor,0,0,0.0,0,0,1,0,min,6
1664,T.J. Hockenson,6,50,8.3,21,0,8,0,chi,6
1665,K.J. Osborn,4,48,12.0,21,0,5,0,chi,6
1666,Alexander Mattison,4,28,7.0,13,0,7,0,chi,6
1667,Jordan Addison,3,28,9.3,15,1,5,0,chi,6
1668,Brandon Powell,3,20,6.7,9,0,4,0,chi,6
1669,Cam Akers,1,7,7.0,7,0,1,0,chi,6
1670,Amari Cooper,4,108,27.0,58,0,8,0,sf,6
1671,Kareem Hunt,3,24,8.0,11,0,3,0,sf,6
1672,David Njoku,3,24,8.0,10,0,4,0,sf,6
1673,Elijah Moore,4,19,4.8,9,0,7,0,sf,6
1674,Jerome Ford,2,7,3.5,7,0,2,0,sf,6
1675,David Bell,1,6,6.0,6,0,3,0,sf,6
1676,Marquise Goodwin,1,4,4.0,4,0,2,0,sf,6
1677,Jordan Akins,0,0,0.0,0,0,2,0,sf,6
1678,Harrison Bryant,0,0,0.0,0,0,1,0,sf,6
1679,Donovan Peoples-Jones,0,0,0.0,0,0,1,0,sf,6
1680,Brandon Aiyuk,4,76,19.0,33,0,10,0,cle,6
1681,Jauan Jennings,2,26,13.0,17,0,4,0,cle,6
1682,Christian McCaffrey,3,9,3.0,13,1,3,0,cle,6
1683,Kyle Juszczyk,1,9,9.0,9,0,1,0,cle,6
1684,Ray-Ray McCloud III,1,4,4.0,4,0,2,0,cle,6
1685,George Kittle,1,1,1.0,1,0,2,0,cle,6
1686,Ross Dwelley,0,0,0.0,0,0,1,0,cle,6
1687,Deebo Samuel,0,0,0.0,0,0,1,0,cle,6
1688,Drake London,9,125,13.9,32,0,12,0,was,6
1689,Bijan Robinson,5,43,8.6,22,0,8,0,was,6
1690,Kyle Pitts,4,43,10.8,19,1,6,0,was,6
1691,Mack Hollins,3,41,13.7,18,0,4,0,was,6
1692,Jonnu Smith,4,36,9.0,17,1,5,0,was,6
1693,MyCole Pruitt,1,9,9.0,9,0,2,0,was,6
1694,Cordarrelle Patterson,1,6,6.0,6,0,1,0,was,6
1695,Scotty Miller,1,4,4.0,4,0,2,0,was,6
1696,Tyler Allgeier,0,0,0.0,0,0,1,0,was,6
1697,KhaDarel Hodge,0,0,0.0,0,0,1,0,was,6
1698,Van Jefferson,0,0,0.0,0,0,2,0,was,6
1699,Terry McLaurin,6,81,13.5,22,0,11,0,atl,6
1700,Curtis Samuel,4,42,10.5,16,1,4,0,atl,6
1701,Brian Robinson Jr.,2,25,12.5,24,1,2,0,atl,6
1702,Logan Thomas,1,2,2.0,2,0,1,0,atl,6
1703,Antonio Gibson,1,1,1.0,1,1,1,0,atl,6
1704,Dyami Brown,0,0,0.0,0,0,1,0,atl,6
1705,Jahan Dotson,0,0,0.0,0,0,1,0,atl,6
1706,Jerry Jeudy,2,50,25.0,39,1,6,0,kc,8
1707,Courtland Sutton,2,29,14.5,23,1,3,0,kc,8
1708,Samaje Perine,2,16,8.0,10,0,3,0,kc,8
1709,Javonte Williams,3,13,4.3,14,1,3,0,kc,8
1710,Jaleel McLaughlin,2,6,3.0,4,0,2,0,kc,8
1711,Marvin Mims Jr.,1,0,0.0,0,0,1,0,kc,8
1712,Travis Kelce,6,58,9.7,19,0,9,0,den,8
1713,Rashee Rice,4,56,14.0,39,0,5,0,den,8
1714,Justin Watson,2,42,21.0,27,0,3,0,den,8
1715,Marquez Valdes-Scantling,2,27,13.5,14,0,4,1,den,8
1716,Noah Gray,2,25,12.5,17,0,3,0,den,8
1717,Mecole Hardman Jr.,2,13,6.5,12,0,2,0,den,8
1718,Jerick McKinnon,1,10,10.0,10,0,2,0,den,8
